unfreeze_percentage,cnn_unlock_epoch,zoom_range,optimizer,num_dense_units_2,run_name,num_dense_units_1,base_model,num_dense_layers,activation,height_shift_range,final_val_error,width_shift_range,batch_size,cnn_learning_rate,rotation_range,num_dense_units_0,learning_rate
0.1,20,0.2731176562700109,RMSProp,1024,run_2018-02-08-031725_,1024,MobileNet,3,relu,0.2670700417347278,0.908256880733945,0.013291399844807938,16,0.0001,24,1024,0.001
0.1,20,0.09226305656156221,RMSProp,1024,run_2018-02-08-020931_,1024,MobileNet,3,relu,0.2793136581256363,0.9082568803921752,0.010758989142237285,16,0.0001,27,1024,0.001
0.1,20,0.13353372060904267,RMSProp,1024,run_2018-02-08-004851_,1024,MobileNet,3,relu,0.06419206369186535,0.908256880733945,0.1916819885810559,16,0.0001,24,1024,0.001
0.1,20,0.12504350520228397,RMSProp,1024,run_2018-02-08-015338_,1024,MobileNet,3,relu,0.16745226034218497,0.8532110088325422,0.17353370372908675,16,0.0001,26,1024,0.001
0.1,20,0.28010098867379085,RMSProp,1024,run_2018-02-08-012630_,1024,MobileNet,3,relu,0.199642843109387,0.550458711768509,0.11563923290670897,16,0.0001,8,1024,0.001
0.1,20,0.17986270028042384,RMSProp,1024,run_2018-02-08-010039_,1024,MobileNet,3,relu,0.2982115775892399,0.8990825684655697,0.27297895970233527,16,0.0001,2,1024,0.001
0.1,20,0.13892020422354648,RMSProp,1024,run_2018-02-08-010558_,1024,MobileNet,3,relu,0.17847713167032794,0.8623853207591476,0.15587676882755072,16,0.0001,10,1024,0.001
0.1,20,0.09370818959097381,RMSProp,1024,run_2018-02-08-005548_,1024,MobileNet,3,relu,0.19647660838359182,0.8715596326857532,0.010574426183393737,16,0.0001,18,1024,0.001
0.1,20,0.07133963455357488,RMSProp,1024,run_2018-02-08-004952_,1024,MobileNet,3,relu,0.20070872806094653,0.8899082565389642,0.17757964774448404,16,0.0001,21,1024,0.001
0.1,20,0.13053256753327078,RMSProp,1024,run_2018-02-08-012102_,1024,MobileNet,3,relu,0.2754527825208728,0.908256880733945,0.03385563743368903,16,0.0001,17,1024,0.001
0.1,20,0.09524816127068243,RMSProp,1024,run_2018-02-08-004805_,1024,MobileNet,3,relu,0.1062132046411052,0.9357798161719917,0.13752253847605447,16,0.0001,9,1024,0.001
0.1,20,0.11910221201652249,RMSProp,1024,run_2018-02-08-014758_,1024,MobileNet,3,relu,0.214395445916459,0.5321100819001504,0.188922433771167,16,0.0001,24,1024,0.001
0.1,20,0.27975673957344976,RMSProp,1024,run_2018-02-08-035900_,1024,MobileNet,3,relu,0.22408274168560224,0.8807339442705889,0.05493175913468363,16,0.0001,1,1024,0.001
0.1,20,0.1554912340457438,RMSProp,1024,run_2018-02-08-005134_,1024,MobileNet,3,relu,0.055980105879955895,0.7247706408347558,0.27140720440487426,16,0.0001,18,1024,0.001
0.1,20,0.057894128207273174,RMSProp,1024,run_2018-02-08-012707_,1024,MobileNet,3,relu,0.24338534360670003,0.9082568800504054,0.1856169905510666,16,0.0001,26,1024,0.001
0.1,20,0.14906977415114525,RMSProp,1024,run_2018-02-08-014817_,1024,MobileNet,3,relu,0.26821965105227863,0.8899082565389642,0.10748272943962274,16,0.0001,3,1024,0.001
0.1,20,0.26604230827819897,RMSProp,1024,run_2018-02-08-004521_,1024,MobileNet,3,relu,0.1645514121069154,0.8440366965641669,0.02442735116966983,16,0.0001,19,1024,0.001
0.1,20,0.22718674380189793,RMSProp,1024,run_2018-02-08-022532_,1024,MobileNet,3,relu,0.23950460485145136,0.8990825681237999,0.06475117089675121,16,0.0001,7,1024,0.001
0.1,20,0.23001714950884125,RMSProp,1024,run_2018-02-08-021132_,1024,MobileNet,3,relu,0.027087590397044746,0.2568807262893117,0.044476846962242245,16,0.0001,14,1024,0.001
0.1,20,0.01489504374763041,RMSProp,1024,run_2018-02-08-004355_,1024,MobileNet,3,relu,0.018412122384600372,0.9266055042453862,0.029282502573977853,16,0.0001,13,1024,0.001
0.1,20,0.13319584803641926,RMSProp,1024,run_2018-02-08-021519_,1024,MobileNet,3,relu,0.019549548550742733,0.33944953800341404,0.1146480643501685,16,0.0001,4,1024,0.001
0.1,20,0.28084584866843737,RMSProp,1024,run_2018-02-08-011942_,1024,MobileNet,3,relu,0.07126980107286987,0.9174311923187807,0.015500448188206206,16,0.0001,30,1024,0.001
0.1,20,0.1323723213121055,RMSProp,1024,run_2018-02-08-011118_,1024,MobileNet,3,relu,0.05758146763683881,0.8807339449541285,0.2530961711617583,16,0.0001,21,1024,0.001
0.1,20,0.28482627085533957,RMSProp,1024,run_2018-02-08-004638_,1024,MobileNet,3,relu,0.1781625509839773,0.8990825688073394,0.20224213697022417,16,0.0001,20,1024,0.001
0.1,20,0.19582354903565707,RMSProp,1024,run_2018-02-08-013846_,1024,MobileNet,3,relu,0.1537466174425027,0.8990825681237999,0.13811795248730227,16,0.0001,16,1024,0.001
0.1,20,0.28119196607715585,RMSProp,1024,run_2018-02-08-004147_,1024,MobileNet,3,relu,0.2803315506147701,0.8990825684655697,0.23146508110237024,16,0.0001,26,1024,0.001
0.1,20,0.057894128207273174,RMSProp,1024,run_2018-02-08-012415_,1024,MobileNet,3,relu,0.24338534360670003,0.7706422004677833,0.1856169905510666,16,0.0001,26,1024,0.001
0.1,20,0.11894266327461084,RMSProp,1024,run_2018-02-08-012541_,1024,MobileNet,3,relu,0.03530174930522142,0.8348623839540219,0.018178277551122533,16,0.0001,27,1024,0.001
0.1,20,0.26604230827819897,RMSProp,1024,run_2018-02-08-010700_,1024,MobileNet,3,relu,0.1645514121069154,0.458715592502454,0.02442735116966983,16,0.0001,19,1024,0.001
0.1,20,0.27009628288518506,RMSProp,1024,run_2018-02-08-005457_,1024,MobileNet,3,relu,0.23358461974869946,0.9174311923187807,0.11959684796990215,16,0.0001,1,1024,0.001
0.1,20,0.06879591457775648,RMSProp,1024,run_2018-02-08-005510_,1024,MobileNet,3,relu,0.2722032130028398,0.9266055042453862,0.20656120974499284,16,0.0001,2,1024,0.001
0.1,20,0.27117514352351024,RMSProp,1024,run_2018-02-08-012320_,1024,MobileNet,3,relu,0.15895987862901878,0.7247706418600651,0.0014098664111166892,16,0.0001,21,1024,0.001
0.1,20,0.2398281834233183,RMSProp,1024,run_2018-02-08-004824_,1024,MobileNet,3,relu,0.17091838512933874,0.8715596330275229,0.04186557313644089,16,0.0001,12,1024,0.001
0.1,20,0.07898504717025713,RMSProp,1024,run_2018-02-08-004621_,1024,MobileNet,3,relu,0.2944653532116982,0.8715596311136123,0.08415840414859886,16,0.0001,23,1024,0.001
0.1,20,0.2640716371945671,RMSProp,1024,run_2018-02-08-023502_,1024,MobileNet,3,relu,0.10698021450954977,0.917431191977011,0.09150313722006022,16,0.0001,17,1024,0.001
0.1,20,0.07175380751463886,RMSProp,1024,run_2018-02-08-015204_,1024,MobileNet,3,relu,0.14768346135637525,0.8623853207591476,0.0598364384924379,16,0.0001,3,1024,0.001
0.1,20,0.11894266327461084,RMSProp,1024,run_2018-02-08-014740_,1024,MobileNet,3,relu,0.03530174930522142,0.30275228373501284,0.018178277551122533,16,0.0001,27,1024,0.001
0.1,20,0.1431544670357832,RMSProp,1024,run_2018-02-08-012821_,1024,MobileNet,3,relu,0.04999001191907378,0.8990825681237999,0.153883124598156,16,0.0001,18,1024,0.001
0.1,20,0.13892020422354648,RMSProp,1024,run_2018-02-08-005407_,1024,MobileNet,3,relu,0.17847713167032794,0.8532110091743119,0.15587676882755072,16,0.0001,10,1024,0.001
0.1,20,0.2847640733523651,RMSProp,1024,run_2018-02-08-020038_,1024,MobileNet,3,relu,0.04035263701719942,0.9174311926605505,0.20847324736609987,16,0.0001,29,1024,0.001
0.1,20,0.18856942259165854,RMSProp,1024,run_2018-02-08-005001_,1024,MobileNet,3,relu,0.20268047516861512,0.9082568803921752,0.21750286606814026,16,0.0001,12,1024,0.001
0.1,20,0.2478138699769601,RMSProp,1024,run_2018-02-08-004512_,1024,MobileNet,3,relu,0.07993779099945421,0.8990825681237999,0.05737390579834989,16,0.0001,7,1024,0.001
