rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,tanh,22,ResNet50,755,0.0019337188863329277,0.875,0.273,44,0.267,Adam,2,3.827147124883705e-05,run_2018-02-08-140922_,0.013,2,262,0.2918873883857261
24,tanh,25,InceptionResNetV2,219,0.0007913276149733557,0.875,0.273,56,0.267,SGD,2,3.0741180528454486e-05,run_2018-02-08-141135_,0.013,2,157,0.07908562229832784
24,relu,20,ResNet50,380,0.00036925746793634875,0.90625,0.273,57,0.267,SGD,4,5.280656076249799e-05,run_2018-02-08-143303_,0.013,2,415,0.27858313369105064
24,relu,27,MobileNet,427,0.0010192003596035026,0.19480518396798663,0.273,22,0.267,RMSProp,64,5.93659901713247e-05,run_2018-02-08-150638_,0.013,3,245,0.05015390769595599
24,relu,12,Xception,731,0.0011252188834962845,0.46875,0.273,34,0.267,Adam,8,1.4293240239556127e-05,run_2018-02-08-134756_,0.013,2,420,0.1513372263504593
24,tanh,29,InceptionResNetV2,623,0.000521720636708256,0.328125,0.273,27,0.267,SGD,64,0.0004423776057438744,run_2018-02-08-163627_,0.013,3,353,0.09807266515169462
24,relu,12,InceptionV3,183,0.00023766619778607632,0.7981651357007683,0.273,17,0.267,RMSProp,2,0.0001855110920544726,run_2018-02-08-141307_,0.013,2,52,0.14632002756508053
24,tanh,26,InceptionV3,533,0.0003413126571216017,0.9090909081233012,0.273,23,0.267,Adam,2,2.5593632146578597e-05,run_2018-02-08-141323_,0.013,2,453,0.044836901796435624
24,relu,21,MobileNet,152,0.004440858756346598,0.4675324613397772,0.273,24,0.267,Adam,4,1.3197144852527731e-05,run_2018-02-08-141659_,0.013,2,78,0.0038465833794067983
24,relu,22,MobileNet,769,0.0018384570315878026,0.38532109654277835,0.273,19,0.267,Adam,16,1.1252978052325498e-05,run_2018-02-08-143124_,0.013,3,50,0.08281874464133102
24,relu,14,Xception,145,0.0016300434539378834,0.421875,0.273,33,0.267,RMSProp,16,1.134874168789118e-05,run_2018-02-08-153016_,0.013,2,294,0.01619592738073965
24,relu,12,Xception,731,0.0011252188834962845,0.875,0.273,34,0.267,Adam,1,1.4293240239556127e-05,run_2018-02-08-131601_,0.013,2,420,0.1513372263504593
24,tanh,18,Xception,337,0.00025552720420642577,0.27272726808275494,0.273,25,0.267,RMSProp,64,9.394238019451583e-05,run_2018-02-08-160129_,0.013,2,488,0.1237095677878801
24,relu,21,MobileNet,152,0.004440858756346598,0.22077920839384002,0.273,24,0.267,Adam,32,1.3197144852527731e-05,run_2018-02-08-143737_,0.013,2,78,0.0038465833794067983
24,tanh,11,Xception,151,0.0007810663342339422,0.3896103756768363,0.273,23,0.267,Adam,16,1.3671518696923568e-05,run_2018-02-08-153305_,0.013,2,222,0.1329855592526113
24,relu,18,MobileNet,154,0.0008383709547929253,0.859375,0.273,35,0.267,SGD,4,0.00022435029177690212,run_2018-02-08-142228_,0.013,2,439,0.16893901440112918
24,tanh,27,InceptionResNetV2,100,0.000196316894784971,0.84375,0.273,38,0.267,RMSProp,4,5.4346436903413856e-05,run_2018-02-08-144530_,0.013,3,161,0.08717978237230432
24,relu,13,Xception,407,0.000868440879631394,0.421875,0.273,26,0.267,RMSProp,16,1.5705998919914355e-05,run_2018-02-08-151149_,0.013,3,119,0.062292327256539444
24,tanh,18,Xception,502,0.00045501478271130826,0.84375,0.273,35,0.267,RMSProp,1,0.00012099864328030101,run_2018-02-08-131548_,0.013,3,97,0.0058493838712906365
24,tanh,27,Xception,193,0.00016129613316653364,0.71875,0.273,54,0.267,RMSProp,4,0.000191781242617201,run_2018-02-08-141725_,0.013,3,65,0.23354000302710443
24,relu,23,InceptionV3,393,0.0009522697489374414,0.5045871545962237,0.273,19,0.267,Adam,16,0.0003409059968597692,run_2018-02-08-143244_,0.013,2,330,0.22282762238898463
24,tanh,15,Xception,296,0.00030912433098717856,0.9375,0.273,41,0.267,Adam,4,0.00029688826057106037,run_2018-02-08-134337_,0.013,2,162,0.10463537736613007
24,relu,25,InceptionResNetV2,201,0.0008498560064325884,0.84375,0.273,52,0.267,RMSProp,1,0.00013664718147462967,run_2018-02-08-131847_,0.013,2,69,0.23736502775800886
24,tanh,16,ResNet50,159,0.0023993643677003114,0.8899082565389642,0.273,18,0.267,SGD,1,0.0004248216625795517,run_2018-02-08-132720_,0.013,3,75,0.1476684015954915
24,relu,26,InceptionV3,160,0.0003578958860716047,0.8311688306850272,0.273,22,0.267,Adam,1,1.3283647444427225e-05,run_2018-02-08-131812_,0.013,3,364,0.08092682512038031
24,tanh,28,ResNet50,860,0.00015912694961424368,0.8961038933945941,0.273,23,0.267,SGD,1,0.0002672843142389019,run_2018-02-08-131751_,0.013,3,203,0.1648444328252132
24,relu,30,ResNet50,151,0.00014126339690024241,0.890625,0.273,37,0.267,Adam,8,0.0001231576910192151,run_2018-02-08-144806_,0.013,3,497,0.2897140457380931
24,relu,16,InceptionResNetV2,130,0.007985255741819025,0.8571428571428572,0.273,23,0.267,SGD,4,6.989110699041067e-05,run_2018-02-08-144153_,0.013,2,200,0.25532759512202996
